734
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.73299652,-0.27801645,0.0035039117,0.6208145,1.7942533,2.5218158,0.22694004,21,1,0,3109.375
2,0.73299652,-0.27801645,0.0035039117,0.6208145,2.0746102,1.3701001,5.828002,6,1,0,46.875
3,0.54810107,-0.74067134,0.21552545,0.32332644,1.6199224,2.3434217,3.4873669,60,1,1,19593.75
4,0,0,0,1,0.071705826,0.82978141,2.7278392,16,1,0,2078.125
5,-0.67459732,-0.67225176,-0.25834012,0.16203806,1.9452004,0.48966339,4.6161962,15,1,0,1515.625
6,0,0,0,1,3.252702,2.1017444,6.2090349,3,1,0,125
7,0.59787536,-0.14039774,-0.75167882,0.24044232,4.1721516,1.3225884,4.6334491,11,1,1,1171.875
8,-0.10148409,0.79920006,0.5511834,0.21720287,3.6432796,1.8734345,0.24907471,43,1,1,10515.625
9,-0.67459732,-0.67225176,-0.25834012,0.16203806,0.28902817,1.6337112,5.968183,1,1,0,78.125
10,0,0,0,1,2.3917403,0.40913129,2.4494326,24,1,0,2890.625
11,-0.94758052,0.078042395,-0.3063851,0.046138428,1.3391556,2.511544,1.5035039,2,1,1,234.375
12,-0.67459732,-0.67225176,-0.25834012,0.16203806,1.0045592,1.1475967,2.2085626,2,1,0,250
13,0.070179015,0.84391147,0.53133774,0.023843588,3.1034689,2.0199723,0.12781298,29,1,1,6578.125
14,0.042374905,0.30339211,0.90310228,0.30093852,3.3244753,0.62268543,0.46042803,7,1,1,375
15,-0.67459732,-0.67225176,-0.25834012,0.16203806,1.5512645,2.480319,1.4586639,26,1,0,2781.25
16,-0.33272231,0.79591399,-0.062757529,0.5018748,5.2327485,2.081013,1.2992376,21,1,1,3625
17,-0.91981226,-0.28169173,-0.1184993,0.24607538,5.2415562,1.5782923,5.5318227,1,1,0,15.625
18,0.73971623,0.53906387,-0.40130311,0.034437384,5.2565427,2.3124928,3.9970267,6,1,1,359.375
19,0,0,0,1,0.75415325,0.73372334,5.7828321,1,1,0,15.625
20,-0.67459732,-0.67225176,-0.25834012,0.16203806,0.41634312,1.8941931,1.7052832,7,1,0,390.625
21,0.44505244,0.65883613,-0.5878219,0.14942785,1.3834472,0.84710526,0.89822912,7,1,0,281.25
22,0,0,0,1,2.8517125,1.5737491,5.4329667,9,1,0,640.625
23,0,0,0,1,2.5764811,0.81301981,3.9360518,8,1,0,250
24,0.18157017,-0.44676292,0.58234411,0.65445441,1.2296585,1.0064421,3.5992064,11,1,1,1234.375
25,-0.75775713,-0.046160098,0.22359908,0.61129111,1.8964732,0.70571852,5.9165726,1,1,0,15.625
26,-0.32581872,-0.80603755,0.49364695,0.021408644,5.9423852,2.1079688,3.5690753,7,1,1,234.375
27,-0.34257266,-0.32171524,-0.80580682,0.36030346,1.9043388,0.97847724,0.39631826,30,1,1,7765.625
28,0.13203757,0.28975716,-0.93646675,0.1470944,5.6998143,0.6481306,3.4133623,10,1,1,1093.75
29,0,0,0,1,3.7707195,1.8268139,5.9580522,18,1,0,2390.625
30,0.88010144,0.38643515,0.27529857,0.017321819,2.0473697,2.5826595,1.2198976,14,1,1,1843.75
31,0,0,0,1,2.327749,1.134443,1.7568003,14,1,0,703.125
32,0.0021971036,-0.35474038,-0.33665878,0.87224728,1.9453408,0.72528726,5.0745463,15,1,1,2359.375
33,-0.67459732,-0.67225176,-0.25834012,0.16203806,3.9526198,1.9014276,6.0907621,1,1,0,15.625
34,0,0,0,1,5.5967641,1.3431029,6.0804749,6,1,0,296.875
35,-0.7667684,-0.38879195,0.39383584,0.32526964,5.8719988,2.0693843,4.9334512,37,1,1,8765.625
36,-0.67459732,-0.67225176,-0.25834012,0.16203806,3.9082408,2.6706064,5.1468649,19,1,0,2437.5
37,0,0,0,1,3.4282169,1.6028547,0.97947693,4,1,0,484.375
38,0,0,0,1,4.9054718,0.73067689,5.1533852,2,1,0,125
39,-0.66758329,-0.4454056,-0.53483772,0.26437655,1.7000753,1.8630461,0.52334422,10,1,1,1812.5
40,-0.67459732,-0.67225176,-0.25834012,0.16203806,0.24117519,2.3034897,5.9889154,11,1,0,640.625
41,0.73299652,-0.27801645,0.0035039117,0.6208145,3.3629045,1.353186,3.0896869,7,1,0,218.75
42,-0.65959495,0.19285139,0.32144436,0.65147251,5.5403719,1.515282,6.109272,19,1,1,5421.875
43,-0.67459732,-0.67225176,-0.25834012,0.16203806,4.4545083,1.7851866,5.4747252,1,1,0,15.625
44,-0.51505989,-0.77044237,-0.22230512,0.30284035,1.6147339,2.3713422,5.9349027,4,1,1,390.625
45,-0.27451485,0.21977012,0.24628168,0.90315449,5.3418751,0.71866488,0.40887448,13,1,1,1000
46,0.45270351,0.59250468,-0.45283288,0.48881498,4.8071609,1.6830364,2.9704342,38,1,1,10687.5
47,0.51554561,0.15130787,0.75138056,0.38307422,5.3051367,0.90785527,3.7582593,1,1,0,31.25
48,-0.67459732,-0.67225176,-0.25834012,0.16203806,5.4401498,1.8382469,3.4867613,27,1,0,5640.625
49,-0.85362554,-0.33914495,-0.36396179,0.15438876,1.5477885,2.3286881,0.7914362,18,1,1,3140.625
50,-0.26381668,-0.67499518,-0.18279931,0.66435438,2.0340569,0.92059261,0.50517964,20,1,0,4187.5
51,0.13737455,0.61341548,0.30224451,0.71658772,4.0929313,1.3595289,1.3919686,13,1,1,1109.375
52,-0.066398367,-0.88364279,-0.31270549,0.34202605,2.2364411,2.1778705,5.5280352,9,1,1,921.875
53,-0.38602725,-0.54833615,-0.69886905,0.24878196,2.1861985,1.4700049,0.27141327,15,1,1,1062.5
54,-0.67459732,-0.67225176,-0.25834012,0.16203806,4.0337691,1.4537083,6.1763234,18,1,0,2093.75
55,-0.67459732,-0.67225176,-0.25834012,0.16203806,2.7520146,1.4211006,3.8745492,15,1,0,781.25
56,-0.67459732,-0.67225176,-0.25834012,0.16203806,4.0611091,1.4303292,4.1384106,1,1,0,15.625
57,-0.50251776,0.3731164,0.19496962,0.75514692,5.3918357,1.3525478,0.38601029,11,1,1,1015.625
58,-0.67459732,-0.67225176,-0.25834012,0.16203806,2.7899597,1.4244226,0.77692938,13,1,0,1468.75
59,-0.67459732,-0.67225176,-0.25834012,0.16203806,3.63275,0.34395728,1.0071696,10,1,0,890.625
60,0,0,0,1,1.1362692,2.2654405,5.2706184,4,1,0,140.625
61,-0.67459732,-0.67225176,-0.25834012,0.16203806,4.8611917,1.2205585,2.5250256,2,1,0,296.875
62,0,0,0,1,2.1027958,0.45791435,4.9059129,14,1,0,2640.625
63,0.51869905,0.35153636,0.047699925,0.77788061,3.6759696,1.3543637,2.4847281,19,1,1,2734.375
64,-0.26381668,-0.67499518,-0.18279931,0.66435438,2.0726039,1.7638259,5.9471898,5,1,0,656.25
65,0,0,0,1,2.242563,2.0621533,0.83757412,7,1,0,265.625
66,0,0,0,1,4.3590765,1.3373514,1.5187194,1,1,0,15.625
67,0,0,0,1,5.6582384,0.58452821,0.50068659,3,1,0,46.875
68,0.62183809,0.43787721,0.50609481,0.40675423,2.8613126,1.7282847,1.6342798,8,1,0,375
69,0.65817833,0.25529423,-0.37741825,0.59931761,4.0736127,1.567544,3.3335834,14,1,1,859.375
70,0,0,0,1,1.7942533,2.5218158,0.22694004,1,1,0,15.625
71,-0.80662578,0.28994194,0.50060648,0.12116807,4.6047955,2.0594335,5.2949333,6,1,1,484.375
72,0,0,0,1,2.6062069,1.2518219,5.0923924,19,1,0,968.75
73,0.033977021,-0.25572398,-0.34980834,0.90060252,2.073369,0.52184373,4.9507771,12,1,1,1187.5
74,0,0,0,1,1.2567636,1.0380764,3.2977169,11,1,0,1328.125
75,-0.67459732,-0.67225176,-0.25834012,0.16203806,0.74596465,2.5883205,0.15160455,1,1,0,15.625
76,0,0,0,1,5.7338033,0.71165657,1.9607848,23,1,0,3640.625
77,-0.91906649,0.088116638,-0.071446396,0.37742227,3.0858502,0.81714946,4.727953,12,1,0,1296.875
78,-0.76835388,0.425919,-0.47270015,0.069136485,6.2777615,2.7887809,1.44762,1,1,0,15.625
79,-0.67459732,-0.67225176,-0.25834012,0.16203806,0.57044125,0.18963708,2.9574497,18,1,0,2718.75
80,0.31390241,0.90318704,-0.048780419,0.2886847,4.5452924,2.547333,2.0726802,32,1,1,6234.375
81,-0.67459732,-0.67225176,-0.25834012,0.16203806,4.6265106,1.2226144,2.3705511,11,1,0,1453.125
82,0,0,0,1,2.2425313,1.4891255,5.7373719,7,1,0,312.5
83,-0.67459732,-0.67225176,-0.25834012,0.16203806,3.8571064,0.97046596,1.0207502,14,1,0,921.875
84,0.64498121,-0.37219065,-0.48197606,0.46170601,3.4250886,1.6800669,4.4718456,16,1,1,2421.875
85,-0.99012089,-0.12664902,0.044286635,0.040734794,3.6368079,0.82515967,0.98263609,16,1,0,1437.5
86,-0.42581227,-0.7829392,0.4350031,0.12830652,6.071888,2.2001464,3.9265351,14,1,1,1250
87,0,0,0,1,3.1585979,1.3401479,3.70117,3,1,0,421.875
88,0,0,0,1,0.5139904,2.4894693,1.3156735,3,1,0,31.25
89,0.77034163,-0.50579852,0.36698729,0.12673566,1.3223205,2.3441191,2.4843082,10,1,1,1296.875
90,0.84781545,0.34656587,-0.30645818,0.25919956,4.3983917,2.3155599,3.6222954,24,1,1,3578.125
91,0,0,0,1,3.4981546,1.8543481,1.5913392,38,1,0,7109.375
92,-0.11906797,-0.66710776,-0.55168259,0.48624721,0.57244748,1.9238423,0.089082822,5,1,0,187.5
93,-0.67459732,-0.67225176,-0.25834012,0.16203806,3.7826936,1.2105031,2.1748438,17,1,0,1578.125
94,0,0,0,1,1.2885181,1.8490351,2.7813995,37,1,0,6031.25
95,-0.67459732,-0.67225176,-0.25834012,0.16203806,0.68040282,0.53682303,0.84006977,16,1,0,1406.25
96,0,0,0,1,5.515852,0.84795541,4.5578642,7,1,0,484.375
97,-0.13773985,0.93701226,0.31207964,0.075114131,2.7447009,3.0631065,3.983427,3,1,0,62.5
98,-0.73788756,0.12189199,0.16975808,0.64175272,5.8608737,1.689748,6.1882977,7,1,1,281.25
99,-0.37472057,-0.86325943,-0.044228412,0.33527836,5.5832577,3.0211766,5.328814,19,1,0,1968.75
100,0,0,0,1,0.79118747,2.2361617,1.5335715,22,1,0,1578.125
101,0.33957618,-0.37878978,0.44438022,0.73738223,1.7592988,1.0673892,3.4391613,25,1,1,4593.75
102,0,0,0,1,2.7734244,1.8020049,3.4984729,16,1,0,1796.875
103,-0.53927284,0.80656493,-0.21786092,0.10570911,0.13759409,2.6524253,2.1005011,28,1,1,7234.375
104,-0.4728131,0.22957461,-0.19980991,0.82693368,6.0682473,1.1068436,0.6891045,10,1,1,1046.875
105,0,0,0,1,4.3570385,0.77449369,5.7762675,2,1,0,359.375
106,0.1499206,-0.90397459,0.14728771,0.37237087,1.3584903,2.3175945,4.1713829,9,1,1,734.375
107,-0.83657593,-0.24405243,-0.28788105,0.39711919,0.91110849,2.1162918,0.3434076,12,1,1,1984.375
108,0,0,0,1,5.9678755,2.1349289,0.72163004,4,1,0,140.625
109,0.61859107,0.45055053,0.55152786,0.33191308,2.7420433,1.7429469,1.4830428,4,1,1,281.25
110,0.53226739,-0.43342161,-0.23027819,0.68978918,2.7804022,1.51309,4.1471934,12,1,1,1125
111,0,0,0,1,0.19505832,1.1461713,2.8745797,43,1,0,13796.875
112,-0.18356657,0.59465528,-0.24088426,0.74475712,5.3246231,1.3434665,1.5842026,10,1,0,390.625
113,0.24003695,0.69500953,-0.61413532,0.28667369,5.5139089,1.6521982,3.0374084,7,1,1,593.75
114,0,0,0,1,4.1391015,0.76642764,4.2977486,1,1,0,15.625
115,-0.85830373,-0.4885374,0.1569165,0.0048139417,5.2605143,2.8263078,4.2256012,9,1,1,1687.5
116,-0.67459732,-0.67225176,-0.25834012,0.16203806,1.466718,1.6212531,5.3534846,10,1,0,218.75
