708
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.82800853,0.54881305,0.059823461,0.098118678,1.1125764,2.3283811,3.0076637,9,1,0,168.75
2,-0.51983935,0.34474912,-0.77703106,0.084485218,0.87690598,1.3471054,2.0480812,15,1,1,148.5
3,-0.12214851,0.078366004,0.67953402,0.71914679,2.8994262,1.3232729,2.4146292,6,1,0,91.125
4,0.30954742,-0.20408645,0.65530521,0.65810657,1.7754378,0.75967741,2.9412167,8,1,0,77.625
5,-0.25697494,0.43924189,-0.44903129,0.73443949,5.7904921,1.0677909,1.5902027,18,1,1,567
6,0.43367869,-0.40550426,0.33790499,0.73028028,5.2436004,1.8123156,6.2425203,17,1,0,455.625
7,-0.20838024,-0.64946222,-0.56723285,0.46154454,1.9874247,1.5666981,3.2533903,13,1,0,253.125
8,0.42918146,-0.042580832,-0.4802345,0.76378334,3.6039991,0.89184111,3.80178,23,1,1,1086.75
9,-0.83681965,-0.29476744,-0.4102248,0.21109413,1.4342271,2.1825571,0.75687617,17,1,1,367.875
10,-0.77758163,0.45492357,0.0017430203,0.43406028,0.16718793,1.0035014,3.2418025,9,1,0,128.25
11,0.82800853,0.54881305,0.059823461,0.098118678,5.0145764,2.2055204,5.497107,14,1,0,266.625
12,0.13368228,0.32915545,0.18413664,0.91644943,4.1283193,0.72639817,1.7582984,12,1,1,121.5
13,-0.38588524,-0.13521028,-0.7123819,0.57037073,5.8813272,0.4959766,5.59375,19,1,0,729
14,0.09593939,0.8665815,0.17579049,0.45708844,4.7944589,1.0793626,2.6572027,15,1,0,398.25
15,-0.18773669,0.48495087,-0.78574467,0.33493724,5.1555319,2.15519,2.6944556,15,1,0,455.625
16,-0.59743392,-0.66752249,-0.44352761,0.027742755,2.4044058,1.88721,1.5630074,18,1,0,452.25
17,0.090079814,0.85683244,0.38748881,0.32798812,3.7392731,2.0766478,0.80717313,12,1,0,158.625
18,0.88425744,-0.051233225,0.27511212,0.37386802,4.0499411,0.40077639,3.0804496,7,1,0,47.25
19,0.10711626,-0.63712448,-0.76289463,0.024296829,4.0436239,2.3008699,1.1533211,20,1,0,340.875
20,-0.82143939,0.034754787,-0.44080833,0.36016321,5.8542247,0.98698497,5.8479719,11,1,0,327.375
21,-0.71646547,-0.24089631,0.25826243,0.60162008,6.2020507,1.7139928,5.5533423,16,1,1,742.5
22,-0.044481583,0.8134827,0.37285757,0.44412223,5.3136711,2.4961097,0.13660957,13,1,0,243
23,-0.98930633,-0.11785041,0.071717769,0.0473384,2.7395182,2.6766965,5.3448792,14,1,0,232.875
24,-0.44963777,0.66400784,-0.43376309,0.41081518,1.4504519,1.9866309,0.35167688,12,1,0,192.375
25,-0.37509501,-0.20631872,0.018080931,0.90355372,0.48286849,0.88476336,5.7603002,19,1,1,361.125
26,0.94446081,0.10647292,-0.29539603,0.096945837,5.1722231,1.6188327,3.1637514,17,1,0,324
27,0.1973331,-0.92318314,0.24789619,0.21757764,1.2627122,1.3783997,3.5432842,15,1,0,249.75
28,0.64426035,-0.32970759,0.68888694,0.040697776,1.156793,1.6183714,2.1028178,15,1,1,560.25
29,0.28148106,0.43686417,0.82385319,0.22623889,1.070341,2.4379563,3.3733509,2,1,0,10.125
30,0.0049947388,-0.33665431,-0.79165024,0.50983208,2.5842741,0.68680173,5.6961961,15,1,1,276.75
31,-0.76795292,-0.19877091,-0.5989669,0.10943986,1.6433493,1.8322895,1.1368016,7,1,1,91.125
32,-0.12450098,0.42210016,-0.89787817,0.012074819,0.27337557,0.91137207,2.8413224,12,1,1,205.875
33,0.36523744,0.89462525,0.0039167227,0.25735563,5.7822089,1.3556954,0.77670532,13,1,0,94.5
34,0.91728318,-0.35577849,0.086604796,0.15656576,3.9819679,1.3713064,5.6530166,5,1,0,20.25
35,-0.59743392,-0.66752249,-0.44352761,0.027742755,2.1365643,2.1433568,2.7101505,7,1,0,84.375
36,0.19243443,-0.90782577,0.26802507,0.25881255,0.43265849,2.3434715,0.14267364,6,1,0,64.125
37,-0.083579868,-0.49977463,0.85795307,0.084595025,6.2157669,1.0627406,3.4055777,15,1,1,367.875
38,0.39145762,-0.46989766,-0.66626066,0.42667767,5.1646276,2.5440919,0.072444439,11,1,0,175.5
39,-0.57218289,0.74806345,0.24761958,0.22735953,6.0063343,2.108789,4.1520891,9,1,0,124.875
40,-0.014389011,-0.049752533,-0.013678662,0.99856424,1.3029639,0.10362934,5.0076165,9,1,1,151.875
41,0.87561435,0.45544472,-0.12499502,0.10122202,4.6427026,1.7175624,5.4031057,12,1,0,202.5
42,-0.29716009,0.56327581,0.70659721,0.30844232,0.81393063,1.5107753,2.3398457,4,1,0,6.75
43,-0.61359942,-0.080422185,0.21152644,0.75649494,3.5621157,0.89665139,5.572185,22,1,0,712.125
44,-0.81223422,0.55821335,0.12570104,0.11345763,6.0954151,0.66899055,1.0352862,16,1,0,266.625
45,0.40356112,-0.38638628,-0.43289015,0.70742506,2.9270737,1.185657,4.4543934,17,1,1,634.5
46,0.15116404,0.72744852,0.56386131,0.36059466,1.9221302,0.84858817,5.9933381,24,1,0,641.25
47,-0.163151,0.2649743,-0.47496855,0.82314962,5.7876363,0.63285744,1.5422418,32,1,1,1063.125
48,-0.091529109,-0.49445215,0.86073726,0.079188511,6.1918879,1.0537912,3.4163756,14,1,1,212.625
49,-0.38588524,-0.13521028,-0.7123819,0.57037073,3.6405947,1.7215996,0.70798278,5,1,0,64.125
50,-0.40611073,-0.60946089,0.56710935,0.37685356,5.4030623,1.8479148,2.5492914,18,1,0,705.375
51,0.69290864,0.015137499,0.15219295,0.70461744,2.9507096,1.5314894,2.9070239,21,1,1,570.375
52,-0.21082059,0.45196122,0.256753,0.82786691,5.2004318,2.137341,2.532419,18,1,0,492.75
53,0.79354656,0.22910413,-0.47312307,0.30651227,4.4185939,1.943795,3.8564613,8,1,1,131.625
54,-0.61858952,-0.53528488,0.57258165,0.054473694,5.5205679,1.9159759,4.0939126,11,1,1,219.375
55,-0.72049552,-0.012606651,-0.27808309,0.63513541,2.1384251,1.5081481,3.3310571,9,1,0,165.375
56,0.057939854,0.92190647,0.34115362,0.17420012,3.5509353,2.3553891,0.53487331,32,1,1,1123.875
57,-0.84504074,-0.27849391,-0.14561155,0.43260211,4.3126645,2.6273663,3.6004357,5,1,0,54
58,0.93070388,-0.32638499,-0.1022229,0.12966719,3.4719024,2.8098426,4.1464744,18,1,1,297
59,-0.45021841,0.43038446,-0.082541756,0.7779842,5.626008,1.3447306,0.86858034,21,1,1,546.75
60,0.29305419,-0.65524703,0.45544362,0.52663237,1.2783178,1.6012599,3.578794,6,1,1,158.625
61,0.82800853,0.54881305,0.059823461,0.098118678,2.148093,1.5011871,5.910634,1,1,0,3.375
62,0.43402797,0.44620419,-0.56100643,0.54570454,4.7400465,1.343809,3.1415861,7,1,1,54
63,-0.43494889,-0.35828173,0.67080551,0.4821552,5.7630239,0.86914474,6.1525278,18,1,0,462.375
64,-0.2314086,0.30453706,-0.32788309,0.8638286,5.7249479,0.78496295,1.2837789,17,1,1,438.75
65,-0.13997959,-0.94293237,0.10926659,0.28168258,3.8558576,2.7857025,4.667552,24,1,0,729
66,0.7436887,-0.050681446,0.66299492,0.069255002,1.6068331,1.6823103,1.7429202,18,1,1,334.125
67,0.7768203,0.19565101,0.54988605,0.23642373,6.176765,0.81224149,2.4930789,9,1,0,145.125
68,-0.60128284,-0.4483816,0.66020751,0.039228145,5.4124861,1.6962998,4.1309886,10,1,1,94.5
69,-0.88158816,-0.09839642,0.069628753,0.4563686,4.598731,0.71224898,6.0907512,1,1,0,10.125
70,0.070160866,0.078827895,-0.72654384,0.67896807,5.0419369,1.8002485,2.6583467,11,1,0,151.875
71,0.030712903,0.92714995,-0.031011347,0.37213966,4.7624154,2.3761861,1.6870507,7,1,1,104.625
72,0.43367869,-0.40550426,0.33790499,0.73028028,0.3777858,1.9761251,1.7226069,17,1,0,452.25
73,-0.12214851,0.078366004,0.67953402,0.71914679,3.6874857,1.5901294,1.1812413,12,1,0,236.25
74,0.26315752,-0.37512955,0.060484208,0.88677371,1.995301,2.7230563,4.1780696,20,1,0,415.125
75,0.61859721,0.77944958,-0.098467946,0.0099958507,5.5111713,2.94332,3.7112722,2,1,1,50.625
76,-0.21082059,0.45196122,0.256753,0.82786691,6.0850692,1.3354586,0.78506696,12,1,0,259.875
77,-0.7743991,-0.5435316,-0.20435753,0.25123185,1.2948551,2.4819987,0.070888333,16,1,1,435.375
78,0.16748074,0.42413521,-0.23272115,0.85901135,5.2495642,2.2444825,5.7600117,12,1,0,243
79,-0.70774388,0.58816755,-0.15087372,0.36110193,5.9855676,2.337389,1.0891556,10,1,0,111.375
80,0.085143037,-0.058944825,0.82762426,0.55164689,1.5531713,0.20748381,2.764255,19,1,1,948.375
