There are   5036 grains.
Grainsize GrainFarea  GrainFeqR GrainFeqD GrainFsf GrainFfitEangle GrainFfitElongA GrainFfitEshortb GrainFasp
     73.00    75.250000   4.894162   9.788323   1.349074 154.432813   5.443176   4.400523   0.808448
    144.00   152.812500   6.974362  13.948725   1.676080  24.602844   8.695090   5.594160   0.643370
      4.00     5.916667   1.372346   2.744692   1.282443  14.365628   1.797335   1.047848   0.583001
     44.00    45.625000   3.810891   7.621782   1.250797  95.276261   4.419622   3.286003   0.743503
     85.00    88.666667   5.312577  10.625154   1.387085 119.600216   6.755147   4.178070   0.618502
     11.00    12.000000   1.954410   3.908820   1.159832 162.229450   2.161959   1.766786   0.817216
     33.00    38.500000   3.500704   7.001409   1.241782 159.734623   3.982042   3.077549   0.772857
     20.00    23.375000   2.727727   5.455454   1.188178 151.807756   3.071667   2.422298   0.788594
      5.00     6.250000   1.410474   2.820948   1.428173 108.713124   2.069860   0.961146   0.464353
      6.00     6.750000   1.465808   2.931615   1.284311   0.077836   1.922368   1.117680   0.581408
     37.00    40.000000   3.568248   7.136496   1.422816 143.260983   4.734303   2.689392   0.568065
      3.00     4.541667   1.202355   2.404710   1.292618  88.456623   1.698710   0.851032   0.500987
     30.00    30.750000   3.128583   6.257165   1.212182 160.972844   3.597857   2.720516   0.756149
     39.00    43.437500   3.718412   7.436823   1.442787 135.842352   5.294814   2.611345   0.493189
     53.00    54.750000   4.174622   8.349243   1.245023 156.136768   4.513745   3.860977   0.855382
      9.00    14.166667   2.123532   4.247065   1.191146 129.466555   2.747705   1.641148   0.597279
     37.00    40.625000   3.596017   7.192034   1.388127   5.983733   5.349669   2.417222   0.451845
     98.00   100.000000   5.641896  11.283792   1.384269  21.202087   6.817791   4.668813   0.684798
      8.00    10.000000   1.784124   3.568248   1.166020  65.472081   2.050934   1.552024   0.756740
     54.00    60.750000   4.397423   8.794845   1.446646 128.684459   5.848163   3.306564   0.565402
      9.00    10.375000   1.817269   3.634537   1.185431  73.446603   2.048035   1.612504   0.787342
     31.00    36.708333   3.418278   6.836556   1.343473 157.623644   4.626415   2.525633   0.545916
     28.00    28.750000   3.025130   6.050259   1.328039 164.528770   3.707945   2.468054   0.665612
    130.00   134.625000   6.546180  13.092359   1.400569 166.375895   7.669587   5.587324   0.728504
    106.00   109.500000   5.903807  11.807613   1.345192 144.576829   6.780723   5.140297   0.758075
    132.00   137.041667   6.604674  13.209348   1.403681   0.333715   9.144121   4.770466   0.521698
    124.00   134.125000   6.534012  13.068024   1.581324 118.752238   9.181796   4.649778   0.506413
      3.00     3.750000   1.092548   2.185097   1.371398 123.309974   1.344243   0.887981   0.660581
    165.00   176.750000   7.500751  15.001503   1.799310 143.707265   7.677143   7.328413   0.954576
    129.00   133.875000   6.527920  13.055839   1.381971 133.825683   7.855397   5.424771   0.690579
     34.00    36.875000   3.426029   6.852059   1.344850 132.486810   4.091999   2.868446   0.700989
    337.00   345.125000  10.481255  20.962509   1.407285   8.633370  12.211759   8.995977   0.736665
     33.00    35.000000   3.337791   6.675581   1.576919 146.084060   4.762133   2.339465   0.491264
      8.00    11.375000   1.902833   3.805667   1.134823  81.165748   2.095419   1.727948   0.824631
     25.00    26.250000   2.890611   5.781223   1.389841  97.041128   3.039127   2.749353   0.904652
    101.00   103.750000   5.746708  11.493416   1.552887 100.076917   6.139260   5.379256   0.876206
    211.00   224.041667   8.444802  16.889604   1.540572 163.486670  10.401941   6.855901   0.659098
      6.00    11.375000   1.902833   3.805667   1.232829 146.836992   2.343602   1.544962   0.659225
     62.00    63.750000   4.504693   9.009385   1.486410  10.664991   5.117567   3.965215   0.774824
    122.00   126.875000   6.354964  12.709928   1.245057  90.925635   6.918561   5.837278   0.843713
     94.00    97.500000   5.570926  11.141852   1.328031 144.635395   6.548938   4.738969   0.723624
     93.00    95.208333   5.505066  11.010132   1.361586 157.378910   7.250869   4.179603   0.576428
    162.00   166.500000   7.280013  14.560027   1.340434  63.018349   7.426415   7.136498   0.960961
    173.00   175.000000   7.463527  14.927053   1.387599 134.373445   8.307584   6.705226   0.807121
     20.00    21.250000   2.600785   5.201571   1.299942 158.294677   2.870906   2.356080   0.820675
     25.00    28.875000   3.031699   6.063398   1.291772 159.007855   3.447796   2.665818   0.773195
     38.00    40.750000   3.601545   7.203090   1.373053  91.776320   3.669131   3.535204   0.963499
    162.00   165.875000   7.266337  14.532674   1.433227 165.315527   9.580551   5.511129   0.575241
      2.00     2.750000   0.935603   1.871205   1.232042  87.984986   1.227793   0.712948   0.580675
     84.00    84.500000   5.186250  10.372499   1.700544 153.730423   8.049151   3.341618   0.415152
     42.00    44.000000   3.742410   7.484821   1.371195 149.964865   4.379122   3.198275   0.730346
     87.00    96.333333   5.537495  11.074990   1.354738 151.666420   6.112174   5.016848   0.820796
     67.00    74.250000   4.861534   9.723067   1.202384  31.930969   5.501437   4.296061   0.780898
