There are   5036 grains.
Grainsize GrainFarea  GrainFeqR GrainFeqD GrainFsf GrainFfitEangle GrainFfitElongA GrainFfitEshortb GrainFasp
      2.00     2.250000   0.846284   1.692569   1.206277  90.000000   1.231359   0.581631   0.472349
      7.00     7.916667   1.587436   3.174872   1.319367 168.790694   2.247912   1.121019   0.498694
     12.00    12.000000   1.954410   3.908820   1.628675 132.974741   2.661591   1.435126   0.539199
      6.00     7.250000   1.519127   3.038254   1.239233 155.611842   1.696012   1.360690   0.802288
     14.00    18.000000   2.393654   4.787307   1.245227  35.914286   3.340419   1.715227   0.513477
      8.00    10.125000   1.795240   3.590481   1.184766   7.435477   2.089821   1.542184   0.737950
     14.00    15.750000   2.239058   4.478116   1.284513 117.572518   2.742734   1.827877   0.666443
     10.00    11.000000   1.871205   3.742410   1.211405   0.263939   2.145163   1.632235   0.760891
     20.00    21.625000   2.623633   5.247266   1.367051  26.555025   2.731995   2.519570   0.922246
     34.00    34.625000   3.319861   6.639723   1.424166 142.631090   4.742672   2.323896   0.489997
      6.00    10.500000   1.828183   3.656366   1.268344 155.097780   2.023459   1.651752   0.816301
     15.00    16.625000   2.300413   4.600827   1.322916 140.900920   2.487407   2.127477   0.855299
     16.00    17.750000   2.376973   4.753946   1.343898  21.257867   2.679812   2.108357   0.786756
     10.00    10.750000   1.849819   3.699639   1.361848 139.236530   2.203054   1.553222   0.705031
     10.00    12.000000   1.954410   3.908820   1.159832 179.859735   2.430577   1.571528   0.646566
     16.00    16.250000   2.274321   4.548642   1.428568 176.483324   3.610023   1.432826   0.396902
      8.00     9.000000   1.692569   3.385138   1.151195  34.385443   1.893991   1.512567   0.798614
     32.00    34.250000   3.301835   6.603670   1.256677 140.550264   4.358457   2.501370   0.573912
     47.00    49.500000   3.969426   7.938851   1.269288  23.459298   4.029720   3.910033   0.970299
     32.00    34.000000   3.289762   6.579525   1.309667  24.031385   4.020481   2.691851   0.669534
     39.00    40.750000   3.601545   7.203090   1.240481  26.568164   4.508530   2.877020   0.638128
      7.00     8.500000   1.644881   3.289762   1.127891  85.448187   1.677204   1.613182   0.961828
     18.00    19.000000   2.459245   4.918491   1.310043 166.465743   3.260313   1.855002   0.568964
     23.00    26.250000   2.890611   5.781223   1.448813 177.870749   4.572622   1.827318   0.399621
      9.00     9.625000   1.750352   3.500704   1.193087  49.924441   1.849935   1.656130   0.895237
      6.00     7.250000   1.519127   3.038254   1.326025 132.310591   1.968579   1.172291   0.595501
      4.00     5.041667   1.266812   2.533624   1.122769 116.651029   1.322020   1.213909   0.918223
     31.00    35.791667   3.375328   6.750657   1.395413 175.851401   5.773044   1.973455   0.341840
     47.00    50.125000   3.994406   7.988813   1.202999   4.969899   4.507621   3.539624   0.785253
      6.00     6.750000   1.465808   2.931615   1.437864 138.017826   1.549288   1.386826   0.895138
     91.00    94.500000   5.484550  10.969099   1.273910 158.360122   6.341861   4.743132   0.747909
      7.00     9.750000   1.761681   3.523363   1.143454 165.003400   2.268192   1.368280   0.603247
     20.00    22.000000   2.646284   5.292567   1.252680  29.314962   3.274864   2.138354   0.652960
     35.00    36.750000   3.420218   6.840435   1.771583 142.245676   4.985903   2.346192   0.470565
     29.00    30.791667   3.130702   6.261403   1.258986 104.151849   3.742156   2.619157   0.699906
    131.00   136.500000   6.591608  13.183217   1.721876 163.309017  12.232378   3.551991   0.290376
     45.00    49.250000   3.959389   7.918778   1.298909 153.656161   5.768193   2.717794   0.471169
     10.00    11.750000   1.933944   3.867889   1.370784 124.750986   2.713904   1.378141   0.507808
     37.00    38.250000   3.489320   6.978640   1.398321 167.481704   5.156627   2.361108   0.457878
      2.00     2.250000   0.846284   1.692569   1.206277  90.000000   1.231359   0.581631   0.472349
     22.00    27.125000   2.938393   5.876787   1.256013 169.774561   3.778163   2.285279   0.604865
     24.00    25.375000   2.842026   5.684053   1.430003 132.258917   4.254269   1.898590   0.446279
     23.00    25.125000   2.827991   5.655983   1.235297  16.523997   3.626636   2.205221   0.608062
     43.00    45.500000   3.805667   7.611334   1.215767  95.006683   4.387830   3.300743   0.752249
     58.00    62.375000   4.455848   8.911695   1.277933 163.709395   6.657791   2.982157   0.447920
     41.00    42.250000   3.667232   7.334465   1.269107 115.939596   4.050589   3.320157   0.819673
     11.00    14.125000   2.120407   4.240815   1.197167  13.080224   2.550398   1.762912   0.691230
    129.00   134.875000   6.552255  13.104510   1.366645 148.020757   8.920233   4.812884   0.539547
     12.00    13.500000   2.072965   4.145930   1.400606  87.407153   3.136424   1.370090   0.436832
     92.00   100.750000   5.663013  11.326027   1.470445 137.098350   8.580767   3.737396   0.435555
     55.00    58.750000   4.324431   8.648863   1.189263  18.079468   4.981950   3.753692   0.753458
    143.00   146.000000   6.817129  13.634257   1.398433 171.259506   8.392636   5.537383   0.659791
     44.00    46.750000   3.857588   7.715177   1.357355  40.705533   4.821436   3.086422   0.640146
      2.00     2.000000   0.797885   1.595769   1.196827  90.000000   1.072864   0.593384   0.553084
      4.00     4.000000   1.128379   2.256758   1.128379   0.000000   1.128379   1.128379   1.000000
     41.00    43.500000   3.721086   7.442172   1.311227  10.840350   5.036120   2.749434   0.545943
     72.00    76.375000   4.930610   9.861221   1.356388  35.572320   5.618233   4.327147   0.770197
     31.00    32.500000   3.216375   6.432751   1.298557 165.298868   4.287927   2.412604   0.562650
    117.00   122.125000   6.234869  12.469739   1.725766   7.432135  11.253257   3.454431   0.306972
     70.00    72.875000   4.816309   9.632618   1.380560  94.604037   5.556627   4.174625   0.751288
     30.00    34.750000   3.325849   6.651697   1.163507  21.216604   3.709564   2.981825   0.803821
     36.00    39.000000   3.523363   7.046726   1.222836   1.700437   4.453816   2.787292   0.625821
     51.00    55.916667   4.218866   8.437731   1.331707 178.942288   5.756550   3.091926   0.537115
      7.00     8.375000   1.632742   3.265483   1.376506  61.205174   2.182297   1.221578   0.559767
     18.00    21.125000   2.593125   5.186250   1.224430   7.837340   3.368983   1.995943   0.592447
      7.00     8.541667   1.648908   3.297816   1.434953 172.414956   2.682670   1.013504   0.377797
     64.00    66.000000   4.583498   9.166996   1.446470 155.010720   5.911585   3.553776   0.601155
    114.00   120.500000   6.193250  12.386499   1.268099 115.190911   7.588914   5.054260   0.666006
      7.00     9.708333   1.757913   3.515826   1.313735 152.952484   2.348306   1.315952   0.560384
      4.00     5.166667   1.282420   2.564840   1.393664 110.359056   1.795857   0.915775   0.509938
     51.00    56.708333   4.248626   8.497252   1.265864 115.191630   5.321142   3.392284   0.637511
     73.00    75.250000   4.894162   9.788323   1.349074 154.027881   5.597778   4.278987   0.764408
    144.00   152.812500   6.974362  13.948725   1.676080  24.355081   9.105971   5.341740   0.586620
      4.00     5.916667   1.372346   2.744692   1.282443  15.400151   1.975485   0.953353   0.482592
     44.00    45.625000   3.810891   7.621782   1.250797  94.618687   4.586989   3.166105   0.690236
     85.00    88.666667   5.312577  10.625154   1.387085 120.756201   7.261591   3.886679   0.535238
     11.00    12.000000   1.954410   3.908820   1.159832 162.241841   2.217745   1.722344   0.776619
     33.00    38.500000   3.500704   7.001409   1.241782 160.119818   4.123255   2.972149   0.720826
     20.00    23.375000   2.727727   5.455454   1.188178 152.606932   3.162797   2.352505   0.743805
      5.00     6.250000   1.410474   2.820948   1.428173 107.956792   2.268030   0.877165   0.386752
