Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain	Grain ID
461	Aluminium	26	5.7536	4	101.77	65.04	1.4595	101.62	0.54	0.90	140.13	17.21	24.09	True	no	460
462	Aluminium	16	4.5135	2	283.00	65.69	1.6724	91.452	0.78	1.16	231.33	29.19	63.01	True	no	461
463	Aluminium	19	4.9185	1	348.11	65.00	1.8317	100.57	0.50	1.10	306.48	42.62	21.41	True	no	462
464	Aluminium	174	14.884	8	377.41	70.01	1.3221	95.615	0.83	2.06	222.95	40.51	73.43	True	no	463
465	Aluminium	15	4.3702	1	14.93	65.60	2.2837	102.36	0.37	0.73	325.44	37.53	4.65	True	no	464
466	Aluminium	34	6.5795	3	34.62	67.85	1.621	71.134	1.06	2.36	14.00	42.71	17.81	True	no	465
467	Aluminium	20	5.0463	1	112.30	65.10	2.108	126.39	1.19	1.90	35.76	41.59	16.31	True	no	466
468	Aluminium	52	8.1369	4	181.46	68.85	1.5627	87.715	0.45	1.65	179.21	49.85	33.28	True	no	467
469	Aluminium	15	4.3702	2	344.20	65.87	2.5133	97.677	0.49	0.92	306.77	41.27	21.81	True	no	468
470	Aluminium	49	7.8987	4	47.12	69.16	2.2031	107.05	1.10	2.35	209.66	42.98	89.97	True	no	469
471	Aluminium	23	5.4115	1	206.78	66.96	1.4665	63.252	0.66	1.57	162.90	45.26	80.35	True	no	470
472	Aluminium	135	13.111	9	209.30	73.31	2.1393	66.877	1.10	2.62	193.45	44.03	7.39	True	no	471
473	Aluminium	12	3.9088	2	217.17	65.25	1.3879	176.97	0.61	1.51	160.02	44.71	73.59	True	no	472
474	Aluminium	52	8.1369	7	236.00	70.42	2.9607	75.175	0.92	1.91	269.58	25.73	4.75	True	no	473
475	Aluminium	28	5.9708	3	298.46	68.14	2.3575	92.453	1.81	7.91	77.39	19.51	20.42	True	no	474
476	Aluminium	19	4.9185	4	23.37	67.95	2.0066	93.952	1.13	1.95	267.21	7.05	87.06	True	no	475
477	Aluminium	29	6.0765	4	106.24	68.14	1.1238	127.78	0.65	1.38	245.50	38.55	57.78	True	no	476
478	Aluminium	24	5.5279	4	141.54	71.42	3.9143	75.572	1.18	2.00	236.90	20.86	32.77	True	no	477
479	Aluminium	168	14.625	7	154.90	74.86	1.8319	96.411	0.98	2.38	41.78	39.68	10.10	True	no	478
480	Aluminium	111	11.888	5	170.95	72.62	1.4818	105.22	0.90	8.90	291.45	21.09	52.40	True	no	479
481	Aluminium	51	8.0582	5	241.71	70.33	2.0965	78.201	0.77	1.90	316.29	43.34	16.47	True	no	480
482	Aluminium	42	7.3127	3	279.17	70.86	1.9744	118.72	1.12	1.86	140.83	37.29	17.93	True	no	481
483	Aluminium	51	8.0582	3	303.53	71.76	1.9826	73.561	0.52	1.01	202.59	34.50	83.90	True	no	482
484	Aluminium	22	5.2926	2	309.05	67.73	1.1846	26.565	0.33	0.74	244.86	19.77	60.17	True	no	483
485	Aluminium	61	8.8129	4	320.15	71.13	1.841	85.281	0.64	1.51	186.84	29.84	9.12	True	no	484
