Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain	Grain ID
1	Aluminium	112	11.942	6	205.76	334.45	2.5425	55.321	3.01	7.64	292.20	41.24	89.94	True	no	3642
2	Aluminium	14	4.222	3	435.21	371.64	8.5143	92.827	0.69	1.06	227.93	22.38	89.93	True	no	4068
3	Aluminium	13	4.0684	3	133.46	371.85	2.8963	94.555	1.38	2.60	332.44	41.52	89.88	True	no	4099
4	Aluminium	11	3.7424	2	358.64	257.91	2.1777	85.269	1.14	1.97	194.54	38.72	89.87	True	no	2923
5	Aluminium	22	5.2926	4	229.59	141.86	1.477	76.86	1.08	2.77	336.34	23.33	89.85	True	no	1648
6	Aluminium	10	3.5682	2	468.20	23.40	1.6684	139.07	0.33	0.53	204.88	43.96	89.84	True	no	334
7	Aluminium	12	3.9088	4	429.08	105.17	1.6485	99.417	0.53	0.80	195.75	29.34	89.84	True	no	1241
8	Aluminium	10	3.5682	1	376.70	225.80	1.637	161.78	0.37	0.66	358.07	38.05	89.83	True	no	2575
9	Aluminium	41	7.2252	4	302.83	178.83	1.9471	94.812	0.68	1.72	82.99	33.60	89.83	True	no	2046
10	Aluminium	19	4.9185	2	144.89	3.95	1.5796	93.702	0.53	0.96	34.98	11.94	89.81	True	no	73
11	Aluminium	26	5.7536	4	115.50	194.81	1.6052	90.498	1.11	2.28	255.51	38.02	89.79	True	no	2219
12	Aluminium	51	8.0582	2	8.29	123.59	2.0061	96.493	1.43	3.47	341.09	33.03	89.76	True	no	1397
13	Aluminium	91	10.764	4	364.47	144.30	2.5135	81.439	0.70	2.39	34.05	30.40	89.74	True	no	1599
14	Aluminium	44	7.4848	3	200.50	235.80	1.5327	82.99	0.65	1.73	328.64	40.69	89.74	True	no	2641
15	Aluminium	40	7.1365	3	450.90	338.83	1.2053	115.99	0.83	2.20	212.89	21.50	89.74	True	no	3730
16	Aluminium	23	5.4115	3	375.09	274.91	2.2322	80.441	4.20	5.67	335.35	44.26	89.74	True	no	3069
17	Aluminium	12	3.9088	1	489.92	37.75	1.5294	120.34	0.36	0.51	164.53	11.84	89.73	True	no	491
18	Aluminium	26	5.7536	3	12.77	370.19	1.6352	101.59	1.82	4.90	161.64	43.72	89.71	True	no	4071
19	Aluminium	18	4.7873	2	26.72	361.83	3.5297	87.42	0.71	1.76	148.84	39.58	89.65	True	no	3977
