Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain	Grain ID
1	Aluminium	132	12.964	3	3.64	8.31	1.9315	97.123	1.45	2.75	287.23	18.31	37.89	True	corner	0
2	Aluminium	33	6.482	1	9.24	1.58	1.6431	0.90186	0.51	1.23	324.67	35.07	86.60	True	edge	1
3	Aluminium	43	7.3993	2	25.91	2.26	1.4622	19.62	0.91	1.73	338.49	31.15	83.28	True	edge	2
4	Aluminium	16	4.5135	2	35.81	1.19	1.3377	17.254	0.52	0.93	256.16	36.11	13.93	True	edge	3
5	Aluminium	241	17.517	6	45.31	8.85	1.432	114.37	1.43	4.67	291.16	21.32	28.01	True	edge	4
6	Aluminium	61	8.8129	2	55.28	4.39	1.3098	86.293	0.93	3.62	35.10	38.04	88.57	True	edge	5
7	Aluminium	15	4.3702	2	59.87	2.00	2.4728	71.165	0.96	1.86	33.20	35.87	2.61	True	edge	6
8	Aluminium	125	12.616	4	65.59	6.71	1.7487	79.865	2.15	4.61	88.92	40.10	22.11	True	edge	7
9	Aluminium	18	4.7873	2	76.17	4.44	5.1376	99.221	1.18	2.50	145.26	39.44	12.38	True	edge	8
10	Aluminium	43	7.3993	2	80.02	3.09	1.3969	114.65	0.64	1.84	145.55	38.22	9.85	True	edge	9
11	Aluminium	234	17.261	6	92.38	8.57	1.5267	71.825	1.47	4.01	252.65	35.78	79.98	True	edge	10
12	Aluminium	286	19.083	6	110.17	7.39	1.0729	159.54	1.91	5.46	56.39	34.51	40.13	True	edge	11
13	Aluminium	63	8.9562	4	121.54	8.62	4.2769	86.641	1.97	3.62	345.72	39.44	64.27	True	edge	12
14	Aluminium	51	8.0582	4	125.06	8.25	5.9171	90.974	0.95	1.85	342.27	40.34	67.81	True	edge	13
15	Aluminium	48	7.8176	2	128.25	5.85	4.1292	84.155	0.85	1.89	341.39	39.86	67.32	True	edge	14
16	Aluminium	34	6.5795	3	134.12	3.53	2.3061	86.088	1.04	2.11	320.00	35.37	23.87	True	edge	15
17	Aluminium	75	9.772	4	141.72	3.75	1.1113	102.25	1.23	3.09	9.89	50.82	39.10	True	edge	16
18	Aluminium	22	5.2926	3	150.68	0.73	3.7806	5.9948	1.39	2.40	77.07	26.77	23.10	True	edge	17
19	Aluminium	31	6.2825	5	156.74	4.32	2.4742	85.685	0.34	0.80	176.19	46.59	39.12	True	edge	18
20	Aluminium	16	4.5135	2	160.81	1.69	1.5618	113.69	0.43	0.84	107.67	38.27	63.91	True	edge	19
21	Aluminium	142	13.446	6	165.22	9.65	2.4079	91.957	1.08	2.67	107.72	38.55	63.69	True	edge	20
22	Aluminium	139	13.303	4	176.05	4.43	1.2535	3.81	1.10	2.47	233.72	26.40	59.41	True	edge	21
23	Aluminium	112	11.942	4	190.66	7.38	2.4622	97.535	1.04	2.86	262.20	7.07	16.16	True	edge	22
24	Aluminium	23	5.4115	2	197.65	1.65	1.0332	154.7	0.62	1.57	281.64	35.00	76.14	True	edge	23
25	Aluminium	19	4.9185	2	205.37	2.84	1.941	100.09	0.34	0.77	270.43	20.88	43.08	True	edge	24
26	Aluminium	120	12.361	5	211.96	5.68	1.3654	102.57	1.71	4.33	299.45	44.85	7.08	True	edge	25
27	Aluminium	10	3.5682	2	218.00	1.20	1.2649	90	1.21	3.83	57.75	30.35	52.51	True	edge	26
28	Aluminium	19	4.9185	3	222.05	1.37	1.2373	25.773	0.59	1.46	286.13	15.85	87.31	True	edge	27
29	Aluminium	38	6.9558	3	228.16	3.45	1.9611	82.397	0.57	1.19	260.22	13.55	10.97	True	edge	28
30	Aluminium	116	12.153	5	235.55	5.65	1.5358	59.291	0.71	1.77	207.72	19.15	65.09	True	edge	29
31	Aluminium	21	5.1709	1	247.52	2.29	1.729	111.94	0.73	1.62	50.80	44.42	14.50	True	edge	30
32	Aluminium	81	10.155	4	255.33	3.37	1.1873	26.384	0.51	1.24	233.89	18.27	68.76	True	edge	31
33	Aluminium	271	18.575	7	270.20	9.32	1.6742	88.286	2.08	3.75	41.35	37.92	55.71	True	edge	32
34	Aluminium	23	5.4115	3	290.39	0.91	2.5737	176.62	0.51	1.37	6.06	33.99	72.42	True	edge	33
35	Aluminium	26	5.7536	3	298.38	1.23	1.9944	3.6209	0.79	2.62	320.62	35.57	29.04	True	edge	34
36	Aluminium	61	8.8129	3	308.44	5.33	2.2198	99.226	0.78	1.61	29.14	36.76	75.01	True	edge	35
37	Aluminium	11	3.7424	1	311.73	1.73	1.6779	80.008	0.69	1.53	26.03	36.19	79.25	True	edge	36
38	Aluminium	84	10.342	5	328.99	5.06	1.633	100.19	1.26	2.43	243.69	22.98	20.33	True	edge	37
39	Aluminium	61	8.8129	5	338.84	2.80	1.7375	158.64	0.64	1.29	180.22	49.90	36.30	True	edge	38
40	Aluminium	17	4.6524	4	348.88	0.53	3.9331	1.2415	0.72	1.17	197.11	18.20	38.35	True	edge	39
41	Aluminium	107	11.672	4	360.36	3.91	1.2558	173.35	1.18	2.00	160.08	22.48	5.53	True	edge	40
42	Aluminium	123	12.514	4	370.32	6.89	1.7142	87.684	1.09	2.35	320.56	23.88	42.48	True	edge	41
43	Aluminium	61	8.8129	3	381.49	2.77	2.1321	30.945	0.54	1.18	340.62	21.61	77.87	True	edge	42
44	Aluminium	46	7.653	1	403.50	1.70	2.5383	165.68	3.33	5.74	251.58	23.15	55.60	True	corner	43
45	Aluminium	24	5.5279	3	285.50	6.13	2.2853	92.694	0.97	2.59	275.76	22.53	5.24	True	no	44
46	Aluminium	100	11.284	5	303.39	9.36	2.1466	100.66	1.14	3.18	128.86	33.78	27.57	True	no	45
47	Aluminium	11	3.7424	3	346.00	3.82	3.2851	83.311	0.36	0.73	131.20	25.73	15.46	True	no	46
48	Aluminium	10	3.5682	4	353.50	3.50	3.2255	97.018	0.30	0.48	161.13	22.59	4.24	True	no	47
49	Aluminium	124	12.565	3	396.84	7.84	1.3722	66.367	0.68	1.33	293.37	38.12	81.25	True	no	48
50	Aluminium	38	6.9558	2	70.82	7.32	3.0123	91.476	1.04	2.79	326.16	32.61	78.81	True	no	49
51	Aluminium	31	6.2825	2	73.90	7.26	3.5488	89.733	1.27	2.88	327.39	32.03	79.14	True	no	50
52	Aluminium	25	5.6419	2	85.20	6.88	4.504	92.464	0.70	1.83	152.43	44.54	83.69	True	no	51
53	Aluminium	14	4.222	1	131.57	5.93	4.4197	86.713	0.79	1.46	323.17	33.76	20.76	True	no	52
54	Aluminium	51	8.0582	5	153.16	7.82	2.6139	97.553	0.87	1.95	139.16	44.69	22.63	True	no	53
55	Aluminium	21	5.1709	2	194.95	6.10	2.4222	98.695	1.27	2.70	245.65	7.14	31.58	True	no	54
56	Aluminium	14	4.222	2	230.36	6.21	3.9093	77.317	0.33	0.79	209.90	18.99	63.82	True	no	55
57	Aluminium	10	3.5682	1	294.40	4.20	1.8987	85.935	1.51	6.90	358.56	26.91	79.43	True	no	56
58	Aluminium	46	7.653	2	316.57	7.80	2.6201	60.253	0.65	1.86	15.08	47.59	35.43	True	no	57
